OrderNumber,QuantityOrdered,ListPrice,PricePerUnit,Sales,OrderDate,Status,QuarterOfYear,Month,Year,ProductLine,Company,CITY,COUNTRY,DEALSIZE
10107,39,118,99.91,3896.49,24/02/03,Shipped,1,FEBRUARY,2003,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10120,29,118,96.34,2793.86,29/04/03,Shipped,2,APRIL,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Small
10134,27,118,100,3307.77,1/7/2003,Shipped,3,JULY,2003,Motorcycles,Lyon Souveniers,Paris,France,Medium
10145,37,118,100,5192.95,25/08/03,Shipped,3,AUGUST,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Medium
10159,37,118,100,5016.83,10/10/2003,Shipped,4,OCTOBER,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10168,27,118,100,3660.93,28/10/03,Shipped,4,OCTOBER,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium
10180,42,118,100,4695.6,11/11/2003,Shipped,4,NOVEMBER,2003,Motorcycles,Daedalus Designs Imports,Lille,France,Medium
10188,38,118,96.34,3660.92,18/11/03,Shipped,4,NOVEMBER,2003,Motorcycles,Herkku Gifts,Bergen,Norway,Medium
10201,24,118,100,3025.92,1/12/2003,Shipped,4,DECEMBER,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,Medium
10210,23,118,100,3009.09,12/1/2004,Shipped,1,JANUARY,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Japan,Medium
10223,47,118,100,5422.39,20/02/04,Shipped,1,FEBRUARY,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Medium
10236,22,118,100,2852.08,3/4/2004,Shipped,2,APRIL,2004,Motorcycles,Motor Mint Distributors Inc.,Philadelphia,USA,Small
10251,44,118,100,5756.52,18/05/04,Shipped,2,MAY,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,Medium
10263,40,118,100,4472,28/06/04,Shipped,2,JUNE,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,Medium
10275,22,118,100,2904.44,23/07/04,Shipped,3,JULY,2004,Motorcycles,La Rochelle Gifts,Nantes,France,Small
10285,47,118,100,6484.59,27/08/04,Shipped,3,AUGUST,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,Medium
10298,39,118,96.34,3757.26,27/09/04,Shipped,3,SETPEMBER,2004,Motorcycles,Atelier graphique,Nantes,France,Medium
10308,34,118,100,4043.96,15/10/04,Shipped,4,OCTOBER,2004,Motorcycles,Mini Classics,White Plains,USA,Medium
10318,45,118,100,5566.5,2/11/2004,Shipped,4,NOVEMBER,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,Medium
10329,20,118,100,3176,15/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10339,40,118,68.92,2756.8,23/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
10361,26,118,51.15,1329.9,17/12/04,Shipped,4,DECEMBER,2004,Motorcycles,Souveniers And Things Co.,Chatswood,Australia,Small
10374,39,118,100,5288.01,2/2/2005,Shipped,1,FEBRUARY,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Australia,Medium
10388,50,118,44.51,2225.5,3/3/2005,Shipped,1,MARCH,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,Small
10402,45,118,100,5833.8,7/4/2005,Shipped,2,APRIL,2005,Motorcycles,Auto Canal Petit,Paris,France,Medium
10417,45,118,100,5887.35,13/05/05,Disputed,2,MAY,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,Medium
10107,27,193,100,6065.55,24/02/03,Shipped,1,FEBRUARY,2003,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10120,46,193,100,9264.86,29/04/03,Shipped,2,APRIL,2003,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Large
10134,31,193,100,7023.98,1/7/2003,Shipped,3,JULY,2003,Motorcycles,Lyon Souveniers,Paris,France,Large
10145,33,193,100,5176.38,25/08/03,Shipped,3,AUGUST,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Medium
10159,22,193,100,4132.7,10/10/2003,Shipped,4,OCTOBER,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10168,20,193,100,4183,28/10/03,Shipped,4,OCTOBER,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium
10180,41,193,100,8892.9,11/11/2003,Shipped,4,NOVEMBER,2003,Motorcycles,Daedalus Designs Imports,Lille,France,Large
10188,45,193,100,8714.7,18/11/03,Shipped,4,NOVEMBER,2003,Motorcycles,Herkku Gifts,Bergen,Norway,Large
10201,49,193,100,8065.89,1/12/2003,Shipped,4,DECEMBER,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,Large
10210,34,193,100,6123.4,12/1/2004,Shipped,1,JANUARY,2004,Motorcycles,Osaka Souveniers Co.,Osaka,Japan,Medium
10223,49,193,100,9774.03,20/02/04,Shipped,1,FEBRUARY,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Large
10237,39,193,100,7023.9,5/4/2004,Shipped,2,APRIL,2004,Motorcycles,Vitachrome Inc.,NYC,USA,Large
10251,43,193,100,7078.23,18/05/04,Shipped,2,MAY,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,Large
10263,41,193,100,8336.94,28/06/04,Shipped,2,JUNE,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,Large
10275,36,193,100,6901.92,23/07/04,Shipped,3,JULY,2004,Motorcycles,La Rochelle Gifts,Nantes,France,Medium
10285,27,193,100,5438.07,27/08/04,Shipped,3,AUGUST,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,Medium
10299,29,193,100,6683.34,30/09/04,Shipped,3,SETPEMBER,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,Medium
10308,20,193,100,4570.4,15/10/04,Shipped,4,OCTOBER,2004,Motorcycles,Mini Classics,White Plains,USA,Medium
10318,37,193,100,7667.14,2/11/2004,Shipped,4,NOVEMBER,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,Large
10329,26,193,100,5868.2,15/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10339,39,193,76.67,2990.13,23/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,"Tokyo Collectables, Ltd",Minato-ku,Japan,Small
10362,22,193,100,3664.1,5/1/2005,Shipped,1,JANUARY,2005,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium
10374,22,193,100,3834.38,2/2/2005,Shipped,1,FEBRUARY,2005,Motorcycles,"Australian Gift Network, Co",South Brisbane,Australia,Medium
10388,21,193,86.77,1822.17,3/3/2005,Shipped,1,MARCH,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,Small
10403,66,193,100,11886.6,8/4/2005,Shipped,2,APRIL,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,UK,Large
10417,56,193,100,9218.16,13/05/05,Disputed,2,MAY,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,Large
10105,50,136,100,7208,11/2/2003,Shipped,1,FEBRUARY,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Large
10119,46,136,100,5004.8,28/04/03,Shipped,2,APRIL,2003,Classic Cars,Salzburg Collectables,Salzburg,Austria,Medium
10129,33,136,100,4398.24,12/6/2003,Shipped,2,JUNE,2003,Classic Cars,"Stylish Desk Decors, Co.",London,UK,Medium
10143,49,136,100,5597.76,10/8/2003,Shipped,3,AUGUST,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,Medium
10155,32,136,100,4526.08,6/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,"Toys of Finland, Co.",Helsinki,Finland,Medium
10167,44,136,100,5924.16,23/10/03,Cancelled,4,OCTOBER,2003,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Medium
10178,24,136,100,3492.48,8/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,Alpha Cognac,Toulouse,France,Medium
10186,26,136,100,3854.24,14/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Double Decker Gift Stores, Ltd",London,UK,Medium
10197,45,136,100,5324.4,26/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Enaco Distributors,Barcelona,Spain,Medium
10209,39,136,100,5197.92,9/1/2004,Shipped,1,JANUARY,2004,Classic Cars,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,Medium
10222,49,136,100,5997.6,19/02/04,Shipped,1,FEBRUARY,2004,Classic Cars,Collectable Mini Designs Co.,San Diego,USA,Medium
10248,20,136,100,2910.4,7/5/2004,Cancelled,2,MAY,2004,Classic Cars,Land of Toys Inc.,NYC,USA,Small
10261,27,136,100,3378.24,17/06/04,Shipped,2,JUNE,2004,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,Medium
10273,30,136,100,3508.8,21/07/04,Shipped,3,JULY,2004,Classic Cars,Petit Auto,Bruxelles,Belgium,Medium
10283,25,136,100,2992,20/08/04,Shipped,3,AUGUST,2004,Classic Cars,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Small
10295,24,136,100,3427.2,10/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Gifts4AllAges.com,Boston,USA,Medium
10307,22,136,100,2692.8,14/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,Small
10316,33,136,100,4128.96,1/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,giftsbymail.co.uk,Cowes,UK,Medium
10325,47,136,64.93,3051.71,5/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Baane Mini Imports,Stavern,Norway,Medium
10337,25,136,48.05,1201.25,21/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Classic Legends Inc.,NYC,USA,Small
10350,26,136,75.47,1962.22,2/12/2004,Shipped,4,DECEMBER,2004,Classic Cars,Euro Shopping Channel,Madrid,Spain,Small
10359,48,136,54.68,2624.64,15/12/04,Shipped,4,DECEMBER,2004,Classic Cars,Reims Collectables,Reims,France,Small
10373,39,136,100,4046.25,31/01/05,Shipped,1,JANUARY,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Oulu,Finland,Medium
10384,34,136,100,4846.7,23/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10395,32,136,100,3370.56,17/03/05,Shipped,1,MARCH,2005,Classic Cars,Lyon Souveniers,Paris,France,Medium
10400,64,136,100,9661.44,1/4/2005,Shipped,2,APRIL,2005,Classic Cars,The Sharp Gifts Warehouse,San Jose,USA,Large
10414,19,136,100,2764.88,6/5/2005,On Hold,2,MAY,2005,Classic Cars,Gifts4AllAges.com,Boston,USA,Small
10103,42,147,100,5398.26,29/01/03,Shipped,1,JANUARY,2003,Classic Cars,Baane Mini Imports,Stavern,Norway,Medium
10114,31,147,100,4305.28,1/4/2003,Shipped,2,APRIL,2003,Classic Cars,"La Corne D'abondance, Co.",Paris,France,Medium
10126,22,147,100,3347.74,28/05/03,Shipped,2,MAY,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,Medium
10140,26,147,100,3188.12,24/07/03,Shipped,3,JULY,2003,Classic Cars,Technics Stores Inc.,Burlingame,USA,Medium
10150,20,147,100,3191.2,19/09/03,Shipped,3,SETPEMBER,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10164,21,147,100,3536.82,21/10/03,Resolved,4,OCTOBER,2003,Classic Cars,Mini Auto Werke,Graz,Austria,Medium
10175,33,147,100,5362.83,6/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,"Stylish Desk Decors, Co.",London,UK,Medium
10183,28,147,100,3433.36,13/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
10194,26,147,100,4263.74,25/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,Medium
10207,31,147,100,4076.19,9/12/2003,Shipped,4,DECEMBER,2003,Classic Cars,Diecast Collectables,Boston,USA,Medium
10217,48,147,100,7020.48,4/2/2004,Shipped,1,FEBRUARY,2004,Classic Cars,Handji Gifts& Co,Singapore,Singapore,Large
10229,50,147,100,6426.5,11/3/2004,Shipped,1,MARCH,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10245,28,147,100,4591.72,4/5/2004,Shipped,2,MAY,2004,Classic Cars,Super Scale Inc.,New Haven,USA,Medium
10259,26,147,100,4033.38,15/06/04,Shipped,2,JUNE,2004,Classic Cars,Handji Gifts& Co,Singapore,Singapore,Medium
10270,32,147,100,4302.08,19/07/04,Shipped,3,JULY,2004,Classic Cars,Souveniers And Things Co.,Chatswood,Australia,Medium
10281,44,147,100,7020.64,19/08/04,Shipped,3,AUGUST,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,Large
10291,30,147,100,3855.9,8/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Medium
10305,38,147,100,6680.78,13/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Marta's Replicas Co.,Cambridge,USA,Medium
10313,40,147,100,6678,22/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Canadian Gift Exchange Network,Vancouver,Canada,Medium
10322,46,147,61.99,2851.54,4/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Online Diecast Creations Co.,Nashua,USA,Small
10334,26,147,100,3188.12,19/11/04,On Hold,4,NOVEMBER,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,Medium
10347,27,147,100,4428,29/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Australia,Medium
10357,43,147,100,5780.92,10/12/2004,Shipped,4,DECEMBER,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10370,35,147,65.63,2297.05,20/01/05,Shipped,1,JANUARY,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10381,37,147,100,6231.54,17/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10391,37,147,46.9,1735.3,9/3/2005,Shipped,1,MARCH,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10411,27,147,100,4427.73,1/5/2005,Shipped,2,MAY,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,Medium
10425,38,147,100,5894.94,31/05/05,In Process,2,MAY,2005,Classic Cars,La Rochelle Gifts,Nantes,France,Medium
10108,33,194,100,5265.15,3/3/2003,Shipped,1,MARCH,2003,Classic Cars,Cruz & Sons Co.,Makati City,Philippines,Medium
10122,42,194,100,7599.9,8/5/2003,Shipped,2,MAY,2003,Classic Cars,Marseille Mini Autos,Marseille,France,Large
10135,42,194,100,8008.56,2/7/2003,Shipped,3,JULY,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
10147,48,194,100,9245.76,5/9/2003,Shipped,3,SETPEMBER,2003,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,Large
10159,41,194,100,8296.35,10/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,Large
10169,30,194,100,5019.9,4/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,Medium
10181,27,194,100,5411.07,12/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,Herkku Gifts,Bergen,Norway,Medium
10191,21,194,100,3840.9,20/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Medium
10203,20,194,100,3930.4,2/12/2003,Shipped,4,DECEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10211,41,194,100,7498.9,15/01/04,Shipped,1,JANUARY,2004,Classic Cars,Auto Canal Petit,Paris,France,Large
10225,27,194,100,4517.91,22/02/04,Shipped,1,FEBRUARY,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Medium
10238,28,194,100,5774.72,9/4/2004,Shipped,2,APRIL,2004,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Medium
10253,24,194,100,3922.56,1/6/2004,Cancelled,2,JUNE,2004,Classic Cars,"UK Collectables, Ltd.",Liverpool,UK,Medium
10266,44,194,100,9160.36,6/7/2004,Shipped,3,JULY,2004,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Large
10276,50,194,100,9631,2/8/2004,Shipped,3,AUGUST,2004,Classic Cars,Online Mini Collectables,Brickhaven,USA,Large
10287,21,194,100,3432.24,30/08/04,Shipped,3,AUGUST,2004,Classic Cars,"Vida Sport, Ltd",Gensve,Switzerland,Medium
10300,33,194,100,5521.89,4/10/2003,Shipped,4,OCTOBER,2003,Classic Cars,"Blauer See Auto, Co.",Frankfurt,Germany,Medium
10310,33,194,100,6934.62,16/10/04,Shipped,4,OCTOBER,2004,Classic Cars,"Toms Spezialitten, Ltd",Koln,Germany,Medium
10320,31,194,100,6876.11,3/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,Medium
10329,41,194,71.47,2930.27,15/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Land of Toys Inc.,NYC,USA,Small
10341,45,194,79.65,3584.25,24/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Salzburg Collectables,Salzburg,Austria,Medium
10363,33,194,85.39,2817.87,6/1/2005,Shipped,1,JANUARY,2005,Classic Cars,Suominen Souveniers,Espoo,Finland,Small
10375,45,194,76,3420,3/2/2005,Shipped,1,FEBRUARY,2005,Classic Cars,La Rochelle Gifts,Nantes,France,Medium
10389,26,194,99.04,2575.04,3/3/2005,Shipped,1,MARCH,2005,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Small
10419,12,194,100,1961.28,17/05/05,Shipped,2,MAY,2005,Classic Cars,Salzburg Collectables,Salzburg,Austria,Small
10105,41,207,100,8690.36,11/2/2003,Shipped,1,FEBRUARY,2003,Classic Cars,Danish Wholesale Imports,Kobenhavn,Denmark,Large
10117,33,207,100,6034.38,16/04/03,Shipped,2,APRIL,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Medium
10127,46,207,100,11279.2,3/6/2003,Shipped,2,JUNE,2003,Classic Cars,Muscle Machine Inc,NYC,USA,Large
10142,33,207,100,8023.29,8/8/2003,Shipped,3,AUGUST,2003,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
10153,20,207,100,4904,28/09/03,Shipped,3,SETPEMBER,2003,Classic Cars,Euro Shopping Channel,Madrid,Spain,Medium
10165,44,207,100,8594.52,22/10/03,Shipped,4,OCTOBER,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large
10176,33,207,100,7474.5,6/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,L'ordine Souveniers,Reggio Emilia,Italy,Large
10185,21,207,100,3883.74,14/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Mini Creations Ltd.,New Bedford,USA,Medium
10196,47,207,100,8887.7,26/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,Super Scale Inc.,New Haven,USA,Large
10208,46,207,100,8602.92,2/1/2004,Shipped,1,JANUARY,2004,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,Large
10220,32,207,100,7181.44,12/2/2004,Shipped,1,FEBRUARY,2004,Classic Cars,"Clover Collections, Co.",Dublin,Ireland,Large
10231,42,207,100,8378.58,19/03/04,Shipped,1,MARCH,2004,Classic Cars,CAF Imports,Madrid,Spain,Large
10247,44,207,100,10606.2,5/5/2004,Shipped,2,MAY,2004,Classic Cars,Suominen Souveniers,Espoo,Finland,Large
10272,35,207,100,5818.4,20/07/04,Shipped,3,JULY,2004,Classic Cars,Diecast Classics Inc.,Allentown,USA,Medium
